id,Name,Ratings,rating,Rating_Description,Reviews,Star_Rating,Location,Nearest_Landmark,Distance_to_Landmark,Price,Tax,Total amt,Amount
533,Afra dormitory,4.8,5,Excellent,4,,Andheri East ,T2 - Chhatrapati Shivaji International Airport,3.3 km ,848,228,"1,076",1076
534,Hotel Airlink,3.8,4,Very Good,387,3,Near Mumbai Airport ,T1 - Chhatrapati Shivaji International Airport,950 m ,"3,204",798,"4,002",4002
535,The Fern Goregaon,4.2,4,Very Good,1842,5,Goregaon ,T1 - Chhatrapati Shivaji International Airport,8.9 km ,"7,988","2,405","10,393",10393
536,Mirage Hotel,4.1,4,Very Good,1820,4,Near Mumbai Airport ,T2 - Chhatrapati Shivaji International Airport,1.7 km ,"6,126","1,251","7,377",7377
537,"RELOhomes | 1 BHK Apartment
Like a 4",4.6,5,Excellent,45,,Powai ,T2 - Chhatrapati Shivaji International Airport,7.7 km ,"5,721","1,420","7,141",7141
538,Click Hotel Caliph,3.3,3,Good,834,3,Powai ,T2 - Chhatrapati Shivaji International Airport,5.4 km ,"4,500",0,"4,500",4500
539,HOTEL LEAFIO MARIGOLD,3.7,4,Very Good,1387,3,Near Mumbai Airport ,T2 - Chhatrapati Shivaji International Airport,2.2 km ,"3,162",748,"3,910",3910
540,"Keys Select by Lemon Tree Hotels, Nestor, Mumbai",3.5,4,Very Good,1528,3,Andheri East ,T2 - Chhatrapati Shivaji International Airport,3.0 km ,"3,623","1,288","4,911",4911
541,Hotel Sea Princess,4.1,4,Very Good,1762,5,Juhu ,T1 - Chhatrapati Shivaji International Airport,5.6 km ,"7,952","2,138","10,090",10090
542,HOTEL WEGO,4.1,4,Very Good,1335,3,Near Mumbai Airport ,T2 - Chhatrapati Shivaji International Airport,2.2 km ,"3,495","1,128","4,623",4623
543,Rodas - An Ecotel Hotel,4.4,4,Excellent,795,3,Powai ,T2 - Chhatrapati Shivaji International Airport,7.0 km ,"7,998","2,150","10,148",10148
544,The Westin Mumbai Powai Lake,4.3,4,Excellent,1282,5,Powai ,T2 - Chhatrapati Shivaji International Airport,6.7 km ,"9,000",0,"9,000",9000
545,Mayura Aureole Co-Living,4.2,4,Very Good,143,,Goregaon ,T1 - Chhatrapati Shivaji International Airport,8.4 km ,"1,496",418,"1,914",1914
546,Sea Green Hotel,3.8,4,Very Good,1203,3,Churchgate ,Queen's Necklace - Marine Drive,450 m ,"4,692","1,265","5,957",5957
547,ibis Mumbai Vikhroli - An Accor Brand,3.9,4,Very Good,327,4,Vikhroli West ,T2 - Chhatrapati Shivaji International Airport,9.5 km ,"6,299",0,"6,299",6299
548,Aboo's Concord Galaxy,3.3,3,Good,798,3,Near Mumbai Airport ,T2 - Chhatrapati Shivaji International Airport,1.9 km ,"3,228",831,"4,059",4059
549,The Paradise by Tunga,4,4,Very Good,1202,3,Andheri East ,T2 - Chhatrapati Shivaji International Airport,3.4 km ,"5,864","1,424","7,288",7288
550,Address Dormitory,4,4,Very Good,240,,Andheri East ,T2 - Chhatrapati Shivaji International Airport,3.2 km ,404,113,517,517
551,Arnna Hotel - Goregaon,3.8,4,Very Good,135,3,Goregaon ,T1 - Chhatrapati Shivaji International Airport,7.9 km ,"2,919",830,"3,749",3749
552,Ramee Guestline Hotel - Dadar,4.1,4,Very Good,774,4,South Mumbai,,,"6,814","1,612","8,426",8426
553,Hotel Metro Palace,3.6,4,Very Good,1167,3,Bandra West ,Band Stand,2.5 km ,"4,064",495,"4,559",4559
554,Hotel Manama,3.5,4,Very Good,1566,3,South Mumbai ,Gateway Of India Mumbai,2.3 km ,"3,158",747,"3,905",3905
555,Aashiyana Dormitory,3.1,3,Good,277,,South Mumbai ,Gateway Of India Mumbai,2.4 km ,630,176,806,806
556,T24 Residency,4,4,Very Good,2465,4,Near Mumbai Airport ,T2 - Chhatrapati Shivaji International Airport,2.0 km ,"4,099",0,"4,099",4099
557,"The Taj Mahal Palace, Mumbai",4.7,5,Excellent,802,5,Colaba ,Gateway Of India Mumbai,280 m ,"27,000",0,"27,000",27000
558,The Roa Hotel,3.7,4,Very Good,1300,3,Ghatkopar West ,T2 - Chhatrapati Shivaji International Airport,5.5 km ,"2,976",608,"3,584",3584
559,Hotel Leafio,3.5,4,Very Good,1919,3,Near Mumbai Airport ,T2 - Chhatrapati Shivaji International Airport,3.1 km ,"2,199",264,"2,463",2463
560,The Byke Delotel,3.8,4,Very Good,419,3,Borivali West,,,"3,183",903,"4,086",4086
561,The Empresa Hotel,3.8,4,Very Good,701,4,Andheri West ,T1 - Chhatrapati Shivaji International Airport,7.6 km ,"8,099","1,458","9,557",9557
562,HOTEL KOHINOOR PARK,3.8,4,Very Good,592,3,South Mumbai ,Siddhivinayak Temple,480 m ,"3,596","1,118","4,714",4714
563,The Altruist Business Hotel (Andheri),3.6,4,Very Good,1257,3,Jogeshwari East ,T1 - Chhatrapati Shivaji International Airport,4.5 km ,"2,763",711,"3,474",3474
564,Hotel Parle International,3.7,4,Very Good,3158,3,Near Mumbai Airport ,T1 - Chhatrapati Shivaji International Airport,1.9 km ,"4,836","1,052","5,888",5888
565,Ocean Dormitory,3.6,4,Very Good,67,,Asalpha ,T2 - Chhatrapati Shivaji International Airport,3.7 km ,925,249,"1,174",1174
566,Hotel Beacon T2,3.2,3,Good,955,4,Near Mumbai Airport ,T2 - Chhatrapati Shivaji International Airport,3.9 km ,"3,600",851,"4,451",4451
567,Hotel Columbus,3.6,4,Very Good,1401,3,Near Mumbai Airport ,T1 - Chhatrapati Shivaji International Airport,1.5 km ,"2,608",567,"3,175",3175
568,Sea Green South Hotel,3.9,4,Very Good,985,3,Churchgate ,Queen's Necklace - Marine Drive,440 m ,"5,583","1,389","6,972",6972
569,Hotel Suba International,4.3,4,Excellent,683,4,Near Mumbai Airport ,T2 - Chhatrapati Shivaji International Airport,2.0 km ,"6,700",0,"6,700",6700
570,Classic Dormitory,3.8,4,Very Good,123,,Andheri East ,T2 - Chhatrapati Shivaji International Airport,3.5 km ,572,145,717,717
571,The Resort Mumbai,4.2,4,Very Good,3937,5,Madh,,,"11,811","3,556","15,367",15367
572,The Mirador,3.7,4,Very Good,384,4,Near Mumbai Airport ,T1 - Chhatrapati Shivaji International Airport,3.2 km ,"6,750",810,"7,560",7560
573,The Sahil Hotel,4.2,4,Very Good,1587,4,South Mumbai ,Mumbai Central Bus Terminus,610 m ,"4,650","1,100","5,750",5750
574,Avion Hotel,3.3,3,Good,1154,3,Near Mumbai Airport ,T1 - Chhatrapati Shivaji International Airport,1.6 km ,"4,205","1,033","5,238",5238
575,Blossom Dormitory ( For Male and Female),3.6,4,Very Good,214,,Sakinaka ,T2 - Chhatrapati Shivaji International Airport,3.4 km ,678,189,867,867
576,Comfort Inn Heritage,3.9,4,Very Good,963,4,South Mumbai,,,"4,743","1,122","5,865",5865
577,Hotel Planet Residency,3.8,4,Very Good,1064,3,Near Mumbai Airport ,T1 - Chhatrapati Shivaji International Airport,2.2 km ,"3,726","1,028","4,754",4754
578,Hotel Kohinoor Elite,4.1,4,Very Good,2183,4,Near Mumbai Airport ,T2 - Chhatrapati Shivaji International Airport,6.1 km ,"7,250",0,"7,250",7250
579,Residency Hotel Andheri,4,4,Very Good,1866,4,Andheri East ,T1 - Chhatrapati Shivaji International Airport,3.2 km ,"4,883","1,155","6,038",6038
