id,Name,Ratings,rating,Rating_Description,Reviews,Star_Rating,Location,Nearest_Landmark,Distance_to_Landmark,Price,Tax,Total amt,Amount
294,Jaypee Vasant Continental Hotel,4,4,Very Good,1696,5,Vasant Vihar ,T1 - Delhi Airport (IGI Airport),7.6 km ,"5,999",0,"5,999",5999
295,YWCA INTERNATIONAL GUEST HOUSE,3.8,4,Very Good,412,,Connaught Place ,India Gate,3.0 km ,"2,408",648,"3,056",3056
296,Holiday Inn New Delhi Mayur Vihar,4.1,4,Very Good,2935,5,East Delhi,,,"6,249",0,"6,249",6249
297,Lemon Tree Premier Delhi Airport,3.9,4,Very Good,9726,4,Aerocity ,Indira Gandhi International Airport,4.1 km ,"4,464","1,478","5,942",5942
298,Radisson Blu Marina Hotel Connaught Place,3.8,4,Very Good,2642,5,Connaught Place,,,"8,000",0,"8,000",8000
299,The Metropolitan Hotel and Spa,4.1,4,Very Good,4049,5,Connaught Place,,,"7,500",0,"7,500",7500
300,The Grand New Delhi,3.8,4,Very Good,1885,5,Vasant Kunj ,Indira Gandhi International Airport,7.7 km ,"12,899","2,322","15,221",15221
301,Crowne Plaza Mayur Vihar,4.3,4,Excellent,3398,5,East Delhi,,,"8,649",0,"8,649",8649
302,Hotel Smart Plaza,4.3,4,Excellent,4031,3,Mahipalpur ,Indira Gandhi International Airport,4.4 km ,"1,525",423,"1,948",1948
303,Hotel Aero Star,4.3,4,Excellent,9760,4,Mahipalpur ,Indira Gandhi International Airport,4.3 km ,"2,472",505,"2,977",2977
304,Golden Bliss Near IGI Airport Mahipalpur,3,3,Good,108,,Mahipalpur ,Indira Gandhi International Airport,4.1 km ,"2,794",811,"3,605",3605
305,Hotel International Inn,4.1,4,Very Good,12005,3,Mahipalpur ,Indira Gandhi International Airport,4.3 km ,"2,199",537,"2,736",2736
306,The Park New Delhi,3.5,4,Very Good,6779,5,Connaught Place ,Connaught Place,730 m ,"7,905","2,125","10,030",10030
307,ibis New Delhi Aerocity - An Accor Brand,3.7,4,Very Good,5538,4,Aerocity ,Indira Gandhi International Airport,4.4 km ,"5,100",0,"5,100",5100
308,goSTOPS Delhi - Rooms & Dorms,4.2,4,Very Good,1076,,Chandni Chowk ,Red Fort,1.8 km ,"1,481",384,"1,865",1865
309,Hotel The Royal Plaza,3.4,3,Good,10365,4,Connaught Place ,India Gate,2.3 km ,"7,379",885,"8,264",8264
310,"Taj Mahal, New Delhi",4.5,5,Excellent,991,5,Man Singh Road Area ,India Gate,1.2 km ,"12,000",0,"12,000",12000
311,Hotel Shanti Palace (Mahipalpur),3.7,4,Very Good,2308,4,Mahipalpur ,Indira Gandhi International Airport,4.1 km ,"2,604",532,"3,136",3136
312,Aloft New Delhi Aerocity,4.2,4,Very Good,2906,5,Aerocity ,Indira Gandhi International Airport,4.1 km ,"6,950",0,"6,950",6950
313,Radisson Blu Hotel New Delhi Dwarka,3.7,4,Very Good,7268,5,Sector 13 Dwarka,,,"5,953",714,"6,667",6667
314,Hotel Star,4.3,4,Excellent,1202,4,Mahipalpur ,Indira Gandhi International Airport,4.3 km ,"2,472",505,"2,977",2977
315,Pullman New Delhi International Airport- An Accor Luxury Brand,4.3,4,Excellent,2197,5,Aerocity ,Indira Gandhi International Airport,4.2 km ,"10,500",0,"10,500",10500
316,Hotel Aman Continental @ Paharganj,4.3,4,Excellent,5760,3,Paharganj ,New Delhi Railway Station,390 m ,"2,045",620,"2,665",2665
317,"Taj Palace, New Delhi",4.5,5,Excellent,7913,5,Chanakyapuri ,T1 - Delhi Airport (IGI Airport),7.0 km ,"11,500",0,"11,500",11500
318,Red Fox Hotel Delhi Airport,3.9,4,Very Good,7509,3,Aerocity ,Indira Gandhi International Airport,4.2 km ,"2,903","1,054","3,957",3957
319,"Vivanta New Delhi, Dwarka",4.3,4,Excellent,7707,5,Sector 21 Dwarka,,,"7,100",,"7,100",7100
320,The Gold Regency @ Paharganj,4.3,4,Excellent,2949,3,Paharganj ,New Delhi Railway Station,310 m ,"2,044",620,"2,664",2664
321,"Red Brick | Home by Earthaa Escapes
Like a 3",4.2,4,Very Good,132,,Malviya Nagar,,,"2,548",696,"3,244",3244
322,JW Marriott Hotel New Delhi Aerocity,4.5,5,Excellent,1308,5,Aerocity ,Indira Gandhi International Airport,4.1 km ,"12,800",0,"12,800",12800
323,Crowne Plaza Rohini,4.3,4,Excellent,2702,5,Rohini,,,"6,498",0,"6,498",6498
324,"Park Plaza, Shahdara",3.7,4,Very Good,3422,5,East Delhi,,,"3,825",0,"3,825",3825
325,Andaz Delhi - A concept by Hyatt,4.3,4,Excellent,1272,5,Aerocity ,Indira Gandhi International Airport,3.9 km ,"11,000",0,"11,000",11000
326,Homestay AC Dormitory at Kashmiri Gate,3.9,4,Very Good,256,,North Delhi,,,735,229,964,964
327,Zone Connect Saket Delhi,3.9,4,Very Good,390,5,Saket,,,"5,900","1,205","7,105",7105
328,Crowne Plaza Okhla,4.3,4,Excellent,2802,5,Okhla Industrial Area,,,"6,300",0,"6,300",6300
329,Taurus Sarovar Portico,3.1,3,Good,845,4,Mahipalpur ,Indira Gandhi International Airport,4.0 km ,"2,976",608,"3,584",3584
330,The Leela Palace New Delhi,4.5,5,Excellent,449,5,Chanakyapuri ,T1 - Delhi Airport (IGI Airport),8.5 km ,"17,000",0,"17,000",17000
331,Shangri-La Eros New Delhi,4.4,4,Excellent,1832,5,Connaught Place ,India Gate,2.3 km ,"12,500",0,"12,500",12500
332,Sheraton New Delhi,4.5,5,Excellent,1706,5,Saket,,,"9,500",0,"9,500",9500
333,"Hyatt Centric Janakpuri, New Delhi",3.6,4,Very Good,850,5,Janakpuri,,,"5,599",0,"5,599",5599
334,ITC Maurya - A Luxury Collection Hotel,4.3,4,Excellent,2009,5,Chanakyapuri ,T1 - Delhi Airport (IGI Airport),7.4 km ,"11,000",0,"11,000",11000
335,Le Meridien Delhi,4.2,4,Very Good,1622,5,Connaught Place ,India Gate,2.1 km ,"12,150",0,"12,150",12150
336,"Eros Hotel New Delhi ,Nehru Place",4,4,Very Good,2733,5,Near Nehru Place,,,"4,999",0,"4,999",4999
337,Jaypee Siddharth Hotel,3.7,4,Very Good,2052,5,Pusa road ,BLK Hospital,590 m ,"6,299",0,"6,299",6299
338,Hotel Vertu,4,4,Very Good,3227,4,Mahipalpur ,Indira Gandhi International Airport,4.2 km ,"2,525",631,"3,156",3156
339,"Le ROI, Delhi@ New Delhi Railway Station",4,4,Very Good,4625,3,Paharganj,,,"2,474",633,"3,107",3107
340,Ashiana Hotel @ New Delhi Railway Station,3.7,4,Very Good,176,,Paharganj ,New Delhi Railway Station,880 m ,883,307,"1,190",1190
341,The Roseate,4.3,4,Excellent,2371,5,Mahipalpur ,Indira Gandhi International Airport,8.0 km ,"12,024","2,164","14,188",14188
342,"The Connaught, New Delhi - IHCL SeleQtions",4.5,5,Excellent,2016,4,Connaught Place ,Connaught Place,980 m ,"7,499",,"7,499",7499
343,Hyatt Regency New Delhi,4.2,4,Very Good,1655,5,R.K. Puram ,T1 - Delhi Airport (IGI Airport),8.3 km ,"8,100","1,863","9,963",9963
344,Hotel Samrat,3.2,3,Good,2214,4,Chanakyapuri ,T1 - Delhi Airport (IGI Airport),9.8 km ,"4,278",874,"5,152",5152
345,"New Delhi YMCA Tourist Hostel | Rooms & Wi-Fi
Like a 3",3.5,4,Very Good,1401,,Connaught Place ,Connaught Place,900 m ,"3,148",847,"3,995",3995
346,Golden Keys Inn,3.7,4,Very Good,752,3,North Delhi,,,"2,009",679,"2,688",2688
347,Ginger East Delhi,3.5,4,Very Good,3276,3,East Delhi,,,"1,839",,"1,839",1839
348,The Hans,3.6,4,Very Good,1397,4,Connaught Place ,Agrasen Ki Baoli,600 m ,"4,860",993,"5,853",5853
349,"Shubham Vilas
Like a 3",4.2,4,Very Good,323,,Rajouri Garden,,,"1,876",665,"2,541",2541
350,Ramada By Wyndham New Delhi Pitampura,3.5,4,Very Good,1620,4,North Delhi,,,"4,437",906,"5,343",5343
351,Svelte Hotel & Personal Suites,3.6,4,Very Good,967,5,Saket,,,"8,333",,"8,333",8333
352,The Grand Uddhav,4.2,4,Very Good,1838,3,Paharganj ,New Delhi Railway Station,740 m ,"3,081",817,"3,898",3898
353,Hotel Chanakya Inn,3.4,3,Good,2603,3,Mahipalpur ,Indira Gandhi International Airport,4.1 km ,"1,836",513,"2,349",2349
354,Hotel Viva Palace @ Delhi Airport,3.9,4,Very Good,528,4,Mahipalpur ,Indira Gandhi International Airport,4.2 km ,"2,271",567,"2,838",2838
355,Hotel Hari Piorko,3.8,4,Very Good,5220,3,Paharganj ,New Delhi Railway Station,630 m ,"1,104",412,"1,516",1516
356,Hotel Southern,3.4,3,Good,2350,3,Karol bagh,,,"1,951",469,"2,420",2420
357,Hotel Delhi 37,4.3,4,Excellent,8326,3,Mahipalpur ,Indira Gandhi International Airport,4.3 km ,"2,472",505,"2,977",2977
358,Red Fox Hotel East Delhi,3.6,4,Very Good,1069,3,East Delhi,,,"1,908",692,"2,600",2600
359,HOME@B11,2.3,2,Average,3,,East Of Kailash,,,"2,758",901,"3,659",3659
360,The Umrao,3.9,4,Very Good,2863,5,Samalka ,Indira Gandhi International Airport,6.5 km ,"5,000",0,"5,000",5000
361,IIDL Suites,4.1,4,Very Good,1926,4,East Delhi,,,"4,900",0,"4,900",4900
362,Four Points by Sheraton Delhi,4,4,Very Good,1662,4,Samalka ,Indira Gandhi International Airport,6.4 km ,"4,559",0,"4,559",4559
363,"Deventure Sarovar Portico, Kapashera, New Delhi",3.9,4,Very Good,2681,4,Delhi ,Indira Gandhi International Airport,8.1 km ,"5,022","1,026","6,048",6048
364,"The Dream House BnB | Rooms & Caretaker
Like a 3",4.1,4,Very Good,41,,Safdarjung Enclave ,T1 - Delhi Airport (IGI Airport),9.4 km ,"2,542",684,"3,226",3226
365,"Park Inn by Radisson, IP Extension- New Delhi",3.8,4,Very Good,2618,4,East Delhi,,,"4,150",,"4,150",4150
366,The Claridges New Delhi,4.1,4,Very Good,1055,5,Motilal Nehru Marg Area ,India Gate,2.2 km ,"10,350","1,863","12,213",12213
367,De Pavilion Hotel,3.6,4,Very Good,2047,4,Mahipalpur ,Indira Gandhi International Airport,4.6 km ,"3,164",646,"3,810",3810
368,Venizia Sarovar Portico,3.6,4,Very Good,563,4,North Delhi,,,"3,766",769,"4,535",4535
369,Centaur Hotel,2.5,3,Average,676,3,Delhi Airport ,Indira Gandhi International Airport,2.0 km ,"3,202",654,"3,856",3856
370,The Orion Plaza - Nehru Place,3.8,4,Very Good,1180,3,Near Nehru Place,,,"2,706",589,"3,295",3295
371,Dee Marks Hotel & Resort Delhi Airport,3.4,3,Good,1572,4,Mahipalpur ,Indira Gandhi International Airport,8.8 km ,"2,534",633,"3,167",3167
372,HOTEL LE SEASONS,3.6,4,Very Good,581,4,Mahipalpur ,Indira Gandhi International Airport,3.8 km ,"2,653",700,"3,353",3353
373,Caspia Hotel New Delhi Shalimar Bagh,3.4,3,Good,1725,3,North Delhi,,,"2,799",572,"3,371",3371
374,"Park Inn by Radisson, Lajpat Nagar",4.1,4,Very Good,1856,4,Andrews Ganj,,,"6,999",0,"6,999",6999
375,Jukaso Inn Down Town,3.6,4,Very Good,1207,3,Connaught Place ,Connaught Place,700 m ,"3,134",682,"3,816",3816
376,Hotel LA New Delhi,3.6,4,Very Good,1764,4,Mangolpuri,,,"3,438",702,"4,140",4140
377,Kelvish Hotel Near Delhi Airport,3.9,4,Very Good,1337,3,Mahipalpur ,Indira Gandhi International Airport,5.4 km ,"1,869",481,"2,350",2350
378,The Park Bangalore,3.9,4,Very Good,4187,5,Ulsoor,,,"7,567","2,254","9,821",9821
379,"Keys Select by Lemon Tree Hotels, Whitefield, Bengaluru",4,4,Very Good,2201,4,Brookefield,,,"1,509",531,"2,040",2040
380,ITC Windsor - A Luxury Collection Hotel,4.4,4,Excellent,1315,5,Vasanth Nagar ,Bangalore Palace,2.4 km ,"9,900",0,"9,900",9900
381,Lemon Tree Premier Ulsoor Lake Bangalore,4,4,Very Good,5089,5,Sivanchetti Gardens ,Ulsoor Lake,770 m ,"2,347",918,"3,265",3265
382,"Keys Select by Lemon Tree Hotels, Hosur Road, Bengaluru",4,4,Very Good,3290,4,Hosur road,,,"2,522","1,014","3,536",3536
383,The Chancery Pavilion,3.8,4,Very Good,4764,5,Ashok Nagar ,MG Road,2.4 km ,"6,580","1,540","8,120",8120
384,Radisson Blu Atria Bengaluru,4.3,4,Excellent,2372,5,Palace road,,,"10,200",0,"10,200",10200
385,Lemon Tree Hotel Electronics City Bangalore,4.1,4,Very Good,2314,4,Electronic City,,,"2,598","1,016","3,614",3614
386,"Welcomhotel by ITC Hotels, Richmond Road, Bengaluru",4.3,4,Excellent,2076,5,Richmond road,,,"7,700",0,"7,700",7700
387,Grand Mercure Bangalore - An Accor Brand,4.3,4,Excellent,426,5,Koramangala,,,"9,700",0,"9,700",9700
388,Holiday Inn Express Bengaluru Yeshwantpur,3.7,4,Very Good,1602,3,Tumkur road,,,"3,680",480,"4,160",4160
389,goSTOPS Bengaluru - Rooms & Dorms,4.2,4,Very Good,500,,Gandhi Nagar,,,"1,098",269,"1,367",1367
390,Holiday Inn Bengaluru Racecourse,4,4,Very Good,2156,5,Gandhi Nagar,,,"7,249",0,"7,249",7249
391,Fortune Select JP Cosmos - Member ITC Hotel Group,4,4,Very Good,2944,5,Vasanth Nagar ,Bangalore Palace,2.9 km ,"5,999",0,"5,999",5999
392,Hyatt Centric MG Road Bangalore,4.2,4,Very Good,1162,5,Ulsoor,,,"6,250",0,"6,250",6250
393,Ibis Bengaluru City Centre - An Accor Brand,3.9,4,Very Good,1805,4,Sampangi Rama Nagar ,Cubbon Park,1.8 km ,"4,299",0,"4,299",4299
394,"The Fern Residency - Yeshwanthpur, Bengaluru",4,4,Very Good,1618,4,Tumkur road,,,"4,112",831,"4,943",4943
395,Ashraya International Hotel,3.7,4,Very Good,664,3,Infantry Road ,MG Road,2.3 km ,"2,792",564,"3,356",3356
396,Davanam Sarovar Portico Suites,4.3,4,Excellent,1865,4,Koramangala,,,"5,076","1,026","6,102",6102
397,"Taj M G Road, Bengaluru",4.6,5,Excellent,1715,5,Sivanchetti Gardens ,MG Road,2.9 km ,"9,000",0,"9,000",9000
398,Draper Startup House Koramangala | Dorms & Rooms,4.4,4,Excellent,222,,Koramangala,,,"1,113",294,"1,407",1407
399,The Lalit Ashok Bangalore,3.8,4,Very Good,2542,5,Seshadripuram,,,"6,698","1,354","8,052",8052
400,"Vivanta Bengaluru, Residency Road",4.3,4,Excellent,1022,5,Residency Road ,MG Road,1.5 km ,"7,000",0,"7,000",7000
401,ibis Bengaluru Hebbal - An Accor Brand,4.1,4,Very Good,237,4,Hebbal,,,"4,499",0,"4,499",4499
402,Vividus,4.2,4,Very Good,1791,5,Gandhi Nagar,,,"6,547","2,156","8,703",8703
403,Citrus Hotel Cunningham,4.1,4,Very Good,1869,5,Cunningham Road ,Indira Gandhi Musical Fountain Park,780 m ,"3,934","1,075","5,009",5009
404,Citrus Classic Bengaluru,3.9,4,Very Good,527,4,Outer Ring Road,,,"3,575",977,"4,552",4552
405,"Taj Yeshwantpur, Bengaluru",4.6,5,Excellent,2138,5,Tumkur road,,,"7,500",0,"7,500",7500
406,Lemon Tree Hotel Whitefield,4.1,4,Very Good,2327,4,Brookefield,,,"2,347",843,"3,190",3190
407,"Golden Lotus Bangalore Boutique Suites | Rooms & Garden
Like a 3",3.8,4,Very Good,865,,Richmond road ,MG Road,3.0 km ,"2,660",754,"3,414",3414
408,Ramada Encore,4.4,4,Excellent,4271,4,Domlur Layout,,,"5,640","1,140","6,780",6780
409,Ibis Bengaluru Hosur Road - An Accor Brand,3.9,4,Very Good,1381,3,Hosur road,,,"4,499",0,"4,499",4499
410,"The Oberoi, Bengaluru",4.7,5,Excellent,1565,5,Ulsoor,,,"11,500",0,"11,500",11500
411,Holiday Inn Express Bengaluru Whitefield ITPL,3.5,4,Very Good,1242,3,Whitefield,,,"3,399",0,"3,399",3399
412,The Hosteller Bangalore Brigade Road,3.5,0,Very Good,1500,3,Ashok Nagar ,MG Road,2.2 km ,"1,330",315,"1,645",1645
413,Ginger Bangalore (IRR),3.6,4,Very Good,1639,3,Domlur Layout,,,"1,689",0,"1,689",1689
414,Gokulam Grand Hotel & Spa,4.1,4,Very Good,1537,5,Mathikere,,,"6,409","1,295","7,704",7704
415,Bloom Hotel - Airport Road Bengaluru,4.4,4,Excellent,191,3,Near Bangalore Airport ,Kempegowda Airport ,7.7 km ,"4,000",0,"4,000",4000
416,Hotel Ramanashree Richmond Circle,3.8,4,Very Good,686,3,Sampangi Rama Nagar ,Cubbon Park,2.1 km ,"2,792",564,"3,356",3356
417,"SRS Suites
Like a 3",4.4,4,Excellent,20,,Koramangala,,,"3,178",806,"3,984",3984
418,JP CORDIAL,3.7,4,Very Good,1750,3,Majestic,,,"2,726",638,"3,364",3364
419,Taj Bangalore,4.6,5,Excellent,1172,5,Near Bangalore Airport ,Kempegowda Airport ,900 m ,"11,750",0,"11,750",11750
420,Radisson Bengaluru City Center,4.5,5,Excellent,1283,4,Ulsoor,,,"7,500",0,"7,500",7500
421,The Pride Hotel Bangalore,3.8,4,Very Good,1526,4,Richmond road ,Cubbon Park,2.6 km ,"4,599",552,"5,151",5151
422,BloomSuites | Electronic City,4.1,4,Very Good,643,4,Electronic City,,,"5,000",0,"5,000",5000
423,Southern Star Bangalore,3.9,4,Very Good,1320,4,Ashok Nagar ,MG Road,910 m ,"3,082",872,"3,954",3954
424,Royal Orchid Central Bangalore,3.7,4,Very Good,3836,4,Ulsoor ,MG Road,2.3 km ,"5,823",699,"6,522",6522
425,Shivas Galaxy Hotel,4.1,4,Very Good,963,4,Near Bangalore Airport ,Kempegowda Airport ,8.2 km ,"2,900",604,"3,504",3504
426,"The Bouvice
Like a 3",4.2,4,Very Good,151,,Koramangala,,,"2,279",624,"2,903",2903
427,JW Marriott Bengaluru Prestige Golfshire Resort and Spa,4.7,5,Excellent,100,5,In Devanhalli ,Bangalore city centre,52.0 km ,"25,000",0,"25,000",25000
428,La Sara Grand (Formerly Known as Nandhana Grand),4,4,Very Good,838,3,Koramangala,,,"2,939",752,"3,691",3691
429,Zone By The Park Infantry,3.9,4,Very Good,762,5,Infantry Road ,MG Road,1.9 km ,"4,252","1,021","5,273",5273
430,The Chancery,3.9,4,Very Good,2155,4,Ashok Nagar ,MG Road,980 m ,"4,230",990,"5,220",5220
431,Nash Inn Electronic City,3.1,3,Good,321,,Electronic City,,,979,268,"1,247",1247
432,Radisson Blu Bengaluru Outer Ring Road,4.2,4,Very Good,1159,5,Outer Ring Road,,,"8,000",0,"8,000",8000
433,"Ginger Bangalore, Whitefield",3.7,4,Very Good,1198,3,Brookefield,,,"1,884",0,"1,884",1884
434,Hotel Royal Orchid Bangalore,3.9,4,Very Good,2185,5,Domlur Layout,,,"7,268",872,"8,140",8140
435,"The Hosteller Bangalore, Koramangala",4.3,4,Excellent,13,,Koramangala,,,"1,295",294,"1,589",1589
436,Silicon City Hotel,3.4,3,Good,695,4,Hosur road,,,"1,586",418,"2,004",2004
437,Country Inn And Suites By Radisson Bengaluru Hebbal,3.8,4,Very Good,1928,4,Hebbal,,,"3,500",0,"3,500",3500
438,Octave Himalaya Monarch,4,4,Very Good,2624,3,Gandhi Nagar,,,"1,645",333,"1,978",1978
439,Greenpark Bengaluru,4.7,5,Excellent,62,4,Bannerghatta Main road,,,"6,345","1,350","7,695",7695
440,ITC Gardenia - A Luxury Collection Hotel,4.5,5,Excellent,1389,5,Ashok Nagar ,MG Road,2.1 km ,"11,700",,"11,700",11700
441,The Continentti Whitefield,4,4,Very Good,1189,3,Brookefield,,,"2,791",564,"3,355",3355
442,The Monarch Luxur,3.9,4,Very Good,775,4,Infantry Road ,MG Road,1.6 km ,"3,723",752,"4,475",4475
443,Ballal Residency,3.9,4,Very Good,875,3,Residency Road ,MG Road,2.3 km ,"3,084",836,"3,920",3920
444,Hibernest Indiranagar,4.2,4,Very Good,142,,Indiranagar,,,"1,005",325,"1,330",1330
445,Fortune Park JP Celestial-Member ITC Hotel Group,3.8,4,Very Good,1876,4,Gandhi Nagar,,,"5,292",0,"5,292",5292
446,"Click Hotel Bangalore, International Airport",4.2,4,Very Good,438,3,Near Bangalore Airport ,Kempegowda Airport ,8.0 km ,"3,510",421,"3,931",3931
447,Omatra Hotel HSR,3.4,3,Good,91,,Outer Ring Road,,,"2,194",539,"2,733",2733
448,Svenska Design Hotel,3.3,3,Good,627,,Electronic City,,,"1,999",642,"2,641",2641
449,Peninsula Suites,3.9,4,Very Good,1341,4,Whitefield,,,"2,264",306,"2,570",2570
450,Iris Hotel & Spa Bangalore,4.1,4,Very Good,1016,4,Residency Road ,MG Road,2.1 km ,"5,330","1,247","6,577",6577
451,SM Royal Stay Hotel near Intl Airport Bangalore,4.2,4,Very Good,47,3,Near Bangalore Airport ,Kempegowda Airport ,5.0 km ,"1,692",360,"2,052",2052
452,"Halcyon Residences
Like a 3",3.8,4,Very Good,613,,Koramangala,,,"2,759",755,"3,514",3514
453,Shangri-La Bengaluru,4.5,5,Excellent,584,5,Palace road ,Bangalore Palace,1.9 km ,"13,500",0,"13,500",13500
454,The Leela Bhartiya City Bengaluru,4.6,5,Excellent,213,5,Tirumanahalli,,,"11,000",0,"11,000",11000
455,"Holiday Inn Express & Suites, OMR Bengaluru",4.1,4,Very Good,526,4,Whitefield,,,"3,999",0,"3,999",3999
456,Fairfield By Marriott Bengaluru Rajajinagar,3.9,4,Very Good,883,4,Rajajinagar,,,"5,400",0,"5,400",5400
457,The Zuri Whitefield,4.3,4,Excellent,662,5,Whitefield,,,"6,501",780,"7,281",7281
458,MAYBAACH HOTELS,4.1,4,Very Good,79,3,Marathahalli,,,"2,820",660,"3,480",3480
459,Regenta Place Bangalore by Royal Orchid Hotels Limited,3.5,4,Very Good,923,4,Shivaji Nagar ,MG Road,2.2 km ,"2,848",342,"3,190",3190
460,Icon Business Hotel by Bhagini,3.6,4,Very Good,1024,3,HAL old airport road,,,"2,300",465,"2,765",2765
461,Sterlings Mac Hotel & Suites,4.1,4,Very Good,732,5,HAL old airport road,,,"6,768","1,368","8,136",8136
462,Nexstay Kites Inn,4.3,4,Excellent,36,3,Hosur road,,,"2,799",0,"2,799",2799
463,The Leela Palace Bengaluru,4.5,5,Excellent,1048,5,HAL old airport road,,,"16,500",0,"16,500",16500
464,Omatra Infantry Road | Rooms in a Homestay,3.8,4,Very Good,319,,Infantry Road ,MG Road,1.4 km ,"2,098",554,"2,652",2652
465,Bloom Hotel HSR Layout Sector 3,3.9,4,Very Good,24,3,HSR Layout,,,"5,500",0,"5,500",5500
466,NOOR EMPIRE INTERNATIONAL,3.7,4,Very Good,1552,3,Koramangala,,,"2,776",752,"3,528",3528
467,Attide Biz,3.5,4,Very Good,468,3,Hebbal,,,"2,835",693,"3,528",3528
468,Stayhome Classic,4.3,4,Excellent,285,,Bilekahalli,,,"2,345",642,"2,987",2987
469,DoubleTree Suites by Hilton,4.3,4,Excellent,849,5,Outer Ring Road,,,"9,500",0,"9,500",9500
470,Bloomrooms @ Indiranagar,4.1,4,Very Good,874,3,Indiranagar,,,"4,300",0,"4,300",4300
